Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002017,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-04-07
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002018,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-04-07
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17002024,SW-LPA,"-1,120.00",VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-08
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4120012302450,VSDS17000394,SW-LMA,-84,VNG-S,บางบัวทอง,2017-04-24
บจก.ดูราฟลอร์,Sales order,On order,1BJEG5010123180025VF,VSDB17000064,SW-LBA,-372,VNG-S,โกดังนวนคร,2017-04-11
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1MBU1GG026012302450,VSDM17000492,,"-4,560.00",VNG-S,บางบัวทอง,2017-04-27
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302450,VSDP17002046,SW-LPA,-715,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-04-19
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG160012302450,VSDP17002057,SW-LPA,-910,VNG-S,บางบัวทอง,2017-04-26
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBU2FS250012302450,VSDS17000399,SW-LMA,-80,VNG-S,หลี่หยาง - ใบชั่วคราว,2017-04-19
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000400,SW-LMA,-136,VNG-S,หลี่หยาง - ใบชั่วคราว,2017-04-19
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17000402,SW-LMA,-156,VNG-S,M.K - ใบชั่วคราว,2017-04-20
ห้างหุ้นส่วนจำกัด ไม้สักไทยเฟอร์นิเจอร์,Sales order,On order,1PB01GG190012302450,VSDP17002079,SW-LPA,-35,VNG-S,ถ.นวมินทร์,2017-04-19
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17000403,SW-LMA,-104,VNG-S,M.K - ใบชั่วคราว,2017-04-20
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002089,SW-LPA,-55,VNG-S,M.K - ใบชั่วคราว,2017-04-19
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002090,SW-LPA,-110,VNG-S,M.K - ใบชั่วคราว,2017-04-20
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002091,SW-LPA,-55,VNG-S,M.K - ใบชั่วคราว,2017-04-21
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002092,SW-LPA,-55,VNG-S,M.K - ใบชั่วคราว,2017-04-22
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG190012302450,VSDP17002093,SW-LPA,-55,VNG-S,M.K - ใบชั่วคราว,2017-04-24
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002097,SW-LPA,-140,VNG-S,ฉัตรอินเตอร์ไม้อัดไทย(ใช้ใบชั่วคราวส่ง),2017-04-20
บริษัท เอสซีจี ซิเมนต์-ผลิตภัณฑ์ก่อสร้าง จำกัด,Sales order,On order,3F20892053EGA10611UN,VSDF17000676,SW-L3A,"-8,640.00",VNG-S,โครงการ THE STAGE เตาปูน,2017-04-28
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002098,SW-LPA,-120,VNG-S,ฉัตรอินเตอร์ไม้อัดไทย(ใช้ใบชั่วคราวส่ง),2017-04-24
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002099,SW-LPA,-220,VNG-S,ฉัตรอินเตอร์ไม้อัดไทย(ใช้ใบชั่วคราวส่ง),2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002099,SW-LPA,"-1,430.00",VNG-S,ฉัตรอินเตอร์ไม้อัดไทย(ใช้ใบชั่วคราวส่ง),2017-04-26
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002100,SW-LPA,"-1,650.00",VNG-S,วิทยาหีบทอง (สิงห์บุรี) - ใบชั่วคราว,2017-04-28
บริษัท อินเตอร์ฟลอร์ จำกัด,Sales order,On order,3F20892053GGA10625BO,VSDF17000681,SW-L3A,"-8,640.00",VNG-S,โครงการ The Niche ID พระราม2,2017-04-27
บริษัท อินเตอร์ฟลอร์ จำกัด,Sales order,On order,3F20892053GGA10625BO,VSDF17000682,SW-L3A,"-8,640.00",VNG-S,โครงการ The Niche Prich ทองหล่อ-เพชรบุรี,2017-04-29
บจก.ไทย-เยอรมัน เดคคอร์,Sales order,On order,3F20892053EGA20790AD,VSDF17000685,SW-L3A,"-8,640.00",VNG-S,โกดังไทย-เยอรมัน รามคำแหง 187/1,2017-05-03
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBU2FS250012302450,VSDS17000407,SW-LMA,-640,VNG-S,หลี่หยาง - ใบชั่วคราว,2017-04-27
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4120012302450,VSDS17000408,SW-LMA,-420,VNG-S,บางบัวทอง,2017-04-20
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4180012302450,VSDS17000408,SW-LMA,-504,VNG-S,บางบัวทอง,2017-04-20
บริษัท เกียรติถาวร พาราวู้ด จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002114,SW-LPA,-770,VNG-S,วัดลาดปลาดุก,2017-04-20
บริษัท ฟลอร์เอฟเวอร์ จำกัด,Sales order,On order,1BJJT6010124080033BO,VSDB17000065,SW-LBA,-240,VNG-S,โครงการ Lv ราชพฤกษ์-บางแวก,2017-04-22
บริษัท บ้านอัจฉรา จำกัด,Sales order,On order,2F21293053GGA30780UN,VSDF17000693,BS-LOA,-280,VNG-S,บริษัท บ้านอัจฉรา จำกัด,2017-04-20
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002116,SW-LPA,-70,VNG-S,โกดัง 2,2017-04-21
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002117,SW-LPA,-60,VNG-S,โกดัง 2,2017-04-21
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002118,SW-LPA,-70,VNG-S,โกดัง 2,2017-04-24
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002119,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-04-21
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002120,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-04-21
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002121,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-04-22
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002122,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-04-22
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002125,SW-LPA,-70,VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-04-20
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002126,SW-LPA,"-1,050.00",VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-04-20
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002127,SW-LPA,"-1,050.00",VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-04-20
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002128,SW-LPA,"-1,050.00",VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-04-20
