Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,Column4,Column1,Column2,Column3
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003959,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-04,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003961,SW-LPA,-140,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-07,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003962,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-08,2017-08-02,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17003963,SW-LPA,-70,VNG-S,ฟอร์จูน - ใบชั่วคราว,2017-08-03,2017-08-02,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17003964,SW-LPA,-70,VNG-S,ฟอร์จูน - ใบชั่วคราว,2017-08-15,2017-08-02,คุณวิรัช
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG120012301840,VSDP17003968,SW-LPA,-85,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-08-02,2017-08-02,คุณสุภาพ
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01S4120012301840,VSDP17003971,SW-LPA,-85,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-08-02,2017-08-02,คุณสุภาพ
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003972,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-08-07,2017-08-02,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003974,SW-LPA,-70,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-08-08,2017-08-02,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003975,SW-LPA,-70,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-08-09,2017-08-02,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003976,SW-LPA,-70,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-08-10,2017-08-02,คุณวิรัช
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012302450,VSDP17004004,SW-LPA,-210,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-08-05,2017-08-04,คุณสุภาพ
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG150012302450,VSDP17004005,SW-LPA,-700,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-08-05,2017-08-04,คุณสุภาพ
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004016,SW-LPA,-140,VNG-S,ส่ง S.P.ลามิเนท (สีมาเฟอร์นิช) -ใบชั่วคราว,2017-08-07,2017-08-04,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004025,SW-LPA,-140,VNG-S,ส่ง R.M.C. (สีมาเฟอร์นิช) ใช่ใบชั่วคราวส่ง,2017-08-08,2017-08-04,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004031,SW-LPA,"-1,050.00",VNG-S,รับเอง - เชียงใหม่เฮงล้ง ใบชั่วคราว,2017-08-04,2017-08-04,คุณวัชรชัย
