Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,,,
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003878,SW-LPA,"-1,050.00",VNG-S,ปณชัย-ใบชั่วคราว,2017-08-01,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003880,SW-LPA,"-1,050.00",VNG-S,ปณชัย-ใบชั่วคราว,2017-08-02,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003881,SW-LPA,"-1,050.00",VNG-S,ปณชัย-ใบชั่วคราว,2017-08-03,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003882,SW-LPA,"-1,050.00",VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-01,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003883,SW-LPA,"-1,050.00",VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-02,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003884,SW-LPA,"-1,050.00",VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-03,2017-07-31,คุณวิรัช
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17003885,SW-LPA,-42,VNG-S,M.K  วู้ดเทค,2017-08-01,2017-07-31,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17003886,SW-LPA,-42,VNG-S,M.K  วู้ดเทค,2017-08-02,2017-07-31,คุณวัชรชัย
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003891,SW-LPA,-70,VNG-S,โกดัง 2,2017-08-02,2017-07-31,คุณดำรงศักดิ์
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17003892,SW-LPA,-42,VNG-S,M.K  วู้ดเทค,2017-08-05,2017-07-31,คุณวัชรชัย
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302000,VSDP17003890,SW-LPA,-140,VNG-S,โคราช,2017-08-05,2017-07-31,คุณวิรัช
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003898,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-01,2017-07-31,คุณดำรงศักดิ์
